,precio,distrito,tamaño,ParcelID,CoorX,CoorY
0,,1,1,59,4208,3168
1,,1,1,62,4208,3192
2,,1,0,68,4208,3144
3,,1,0,73,4208,3128
4,,1,0,77,4208,3216
5,,1,0,78,4208,3112
6,,1,1,87,4200,3232
7,,1,1,88,4200,3088
8,,1,0,91,4192,3144
9,,1,0,94,4192,3128
10,,1,1,95,4184,3168
11,,1,0,103,4192,3216
12,,1,0,104,4192,3112
13,,1,1,106,4184,3192
14,,1,1,108,4200,3256
15,,1,1,109,4200,3064
16,,1,0,117,4176,3144
17,,1,1,119,4200,3280
18,,1,1,120,4200,3040
19,,1,0,122,4176,3128
20,,1,0,127,4176,3216
21,,1,0,128,4176,3112
22,,1,1,130,4176,3232
23,,1,1,131,4176,3088
24,,1,1,139,4200,3300
25,,1,1,140,4200,3020
26,,1,1,142,4160,3168
27,,1,1,148,4176,3256
28,,1,1,149,4176,3064
29,,1,1,150,4160,3192
30,,1,0,154,4160,3144
31,,1,0,156,4160,3128
32,,1,0,159,4160,3216
33,,1,0,160,4160,3112
34,,1,1,164,4176,3280
35,,1,1,165,4176,3040
36,,1,0,167,4160,3232
37,,1,0,168,4160,3096
38,,1,0,175,4160,3248
39,,1,0,176,4160,3080
40,,1,0,181,4144,3172
41,,1,0,182,4144,3156
42,,1,1,186,4176,3300
43,,1,1,187,4176,3020
44,,1,0,189,4160,3264
45,,1,0,190,4160,3064
46,,1,1,192,4200,3340
47,,1,1,193,4200,2980
48,,1,1,195,4136,3184
49,,1,1,196,4136,3136
50,,1,1,204,4136,3208
51,,1,1,205,4136,3112
52,,1,0,207,4144,3232
53,,1,0,208,4144,3096
54,,1,0,210,4160,3280
55,,1,0,211,4160,3048
56,,1,0,216,4144,3248
57,,1,0,217,4144,3080
58,,1,0,223,4128,3172
59,,1,0,224,4128,3156
60,,1,0,226,4160,3296
61,,1,0,227,4160,3032
62,,1,1,230,4200,3360
63,,1,0,233,4144,3264
64,,1,0,234,4144,3064
65,,1,0,242,4160,3308
66,,1,0,243,4160,3020
67,,1,0,247,4144,3280
68,,1,0,248,4144,3048
69,,1,1,251,4176,3340
70,,1,1,252,4176,2980
71,,1,1,256,4112,3184
72,,1,1,257,4112,3136
73,,1,0,260,4144,3296
74,,1,0,261,4144,3032
75,,1,1,264,4112,3208
76,,1,1,265,4112,3112
77,,1,0,266,4112,3172
78,,1,0,267,4112,3156
79,,1,1,274,4200,3384
80,,1,1,275,4200,2936
81,,1,0,278,4144,3308
82,,1,0,279,4144,3020
83,,1,1,282,4176,3360
84,,1,1,283,4176,2960
85,,1,0,287,4160,3340
86,,1,0,288,4160,2988
87,,1,0,295,4096,3172
88,,1,0,296,4096,3156
89,,1,0,298,4160,3352
90,,1,0,299,4160,2976
91,,1,1,304,4088,3184
92,,1,1,305,4088,3136
93,,1,1,309,4200,3408
94,,1,1,310,4200,2912
95,,1,0,314,4144,3340
96,,1,0,315,4144,2988
97,,1,1,318,4176,3384
98,,1,1,319,4176,2936
99,,1,1,322,4088,3208
100,,1,1,323,4088,3112
101,,1,0,328,4160,3368
102,,1,0,329,4160,2960
103,,1,0,338,4144,3352
104,,1,0,339,4144,2976
105,,1,0,342,4080,3172
106,,1,0,343,4080,3156
107,,1,0,351,4208,3432
108,,1,0,354,4160,3384
109,,1,0,355,4160,2944
110,,1,0,359,4216,2886
111,,1,1,361,4068,3184
112,,1,1,362,4068,3136
113,,1,0,365,4144,2960
114,,1,2,367,4080,3248
